PLAYER_ID,LEAGUE_ID,TEAM_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
76037,00,0,5,0,33,7,14,0.5,0,0,0.0,7,10,0.7,0,2,2,3,1,0,5,7,21
944,00,0,27,0,83,12,35,0.342857142857,2,2,1.0,16,27,0.592592592592,12,19,31,5,3,2,7,23,42
246,00,0,680,315,14042,2011,4090,0.491687041564,2,23,0.086956521739,929,1668,0.55695443645,1432,2814,4246,385,480,590,926,1741,4953
202341,00,0,247,83,4320,525,1276,0.411442006269,196,611,0.320785597381,176,233,0.755364806866,108,452,560,291,121,55,216,292,1422
76040,00,0,49,,290,51,104,0.490384615384,,,,25,36,0.694444444444,13,12,25,16,9,5,,51,127
1626147,00,0,242,30,3280,454,1106,0.410488245931,159,545,0.291743119266,217,280,0.775,141,480,621,184,105,80,141,291,1284
72,00,0,858,693,25869,4002,9512,0.420731707317,547,1580,0.346202531645,2238,2833,0.78997529121,670,1971,2641,5196,1258,111,1769,1974,10789
76041,00,0,21,,224,24,77,0.311688311688,,,,15,28,0.535714285714,17,28,45,15,4,5,22,42,63
203937,00,0,714,308,15324,1910,3996,0.477977977977,291,857,0.339556592765,765,1069,0.715622076707,553,2514,3067,1978,699,441,714,1108,4876
76042,00,0,36,12,730,73,175,0.417142857142,1,7,0.142857142857,57,82,0.695121951219,44,45,89,153,44,3,84,64,204
76043,00,0,157,2,1970,306,658,0.465045592705,0,9,0.0,139,249,0.558232931726,186,253,439,110,107,39,131,251,751
98,00,0,800,636,24925,4416,9891,0.446466484683,1055,2964,0.355937921727,1642,2461,0.667208451848,1011,3053,4064,2087,1114,364,1358,1502,11529
76045,00,0,407,30,6002,909,2206,0.412058023572,148,445,0.332584269662,294,386,0.761658031088,457,961,1418,611,225,94,362,691,2260
76046,00,0,664,79,15112,2936,6239,0.470588235294,105,366,0.286885245901,1079,1325,0.814339622641,856,1456,2312,952,470,90,730,1019,7056
201583,00,0,649,289,16768,2755,6533,0.42170518904,1325,3491,0.379547407619,1166,1366,0.853587115666,1247,2166,3413,586,332,217,606,1263,8001
1000,00,0,719,226,15943,1996,4366,0.45716903344,307,972,0.315843621399,1028,1392,0.738505747126,583,1669,2252,1007,556,180,958,1437,5327
335,00,0,555,432,15971,2804,5952,0.471102150537,99,372,0.266129032258,1064,1353,0.786400591278,550,1532,2082,2105,594,342,1163,1500,6771
76048,00,0,44,,370,65,166,0.39156626506,,,,29,46,0.630434782608,,,82,9,,,,47,159
101149,00,0,6,0,9,0,1,0.0,0,0,0.0,0,0,0.0,1,3,4,0,2,0,0,1,0
76049,00,0,1,,10,0,4,0.0,,,,3,4,0.75,,,2,0,,,,0,3
1628387,00,0,14,0,35,4,12,0.333333333333,0,0,0.0,5,6,0.833333333333,6,6,12,1,1,4,3,1,13
76050,00,0,149,6,2143,383,746,0.513404825737,0,0,0.0,260,360,0.722222222222,311,310,621,67,51,24,85,284,1026
1512,00,0,155,23,2157,303,734,0.412806539509,4,29,0.137931034482,203,269,0.754646840148,178,356,534,127,78,65,147,373,813
203507,00,0,859,794,28233,7525,13668,0.550556043312,542,1908,0.284067085953,4946,7134,0.693299691617,1599,6931,8530,4288,961,1064,2586,2531,20538
1628961,00,0,22,0,86,6,16,0.375,0,0,0.0,9,19,0.473684210526,6,17,23,3,4,4,13,10,21
203648,00,0,198,11,1520,200,393,0.508905852417,9,63,0.142857142857,72,136,0.529411764705,128,179,307,115,55,31,107,208,481
2546,00,0,1260,1120,43513,10119,22643,0.446893079538,1731,4873,0.355222655448,6320,7764,0.814013395157,1983,5825,7808,3422,1223,644,3052,3543,28289
1630175,00,0,320,125,7935,1415,3380,0.418639053254,435,1262,0.344690966719,750,885,0.847457627118,227,1145,1372,1223,222,135,596,753,4015
21,00,0,757,227,15851,1914,4750,0.402947368421,610,1748,0.348970251716,1059,1445,0.732871972318,271,1146,1417,2997,887,79,1043,1324,5497
201202,00,0,490,110,7057,398,776,0.512886597938,0,0,0.0,268,405,0.661728395061,562,791,1353,99,127,531,227,819,1064
203544,00,0,113,29,1962,231,590,0.391525423728,108,344,0.313953488372,138,189,0.730158730158,115,283,398,107,37,26,104,258,708
1628384,00,0,492,418,14854,2382,5021,0.474407488548,863,2299,0.37538060026,706,928,0.760775862068,549,1595,2144,831,637,289,649,1173,6333
2737,00,0,139,75,1584,156,385,0.405194805194,1,4,0.25,76,112,0.678571428571,124,271,395,41,51,16,111,300,389
76053,00,0,7,,110,22,56,0.392857142857,,,,6,13,0.461538461538,,,32,4,,,,10,50
76054,00,0,876,758,31159,5899,12628,0.467136522014,19,85,,4664,5760,0.809722222222,344,1015,2046,6476,719,81,1123,2002,16481
2425,00,0,44,3,328,15,53,0.283018867924,0,0,0.0,21,49,0.428571428571,27,42,69,16,14,6,17,59,51
1627853,00,0,257,40,3939,358,851,0.420681551116,181,491,0.368635437881,134,166,0.807228915662,53,399,452,487,122,7,135,359,1031
76055,00,0,218,,2666,300,831,0.361010830324,,,,171,246,0.695121951219,241,579,820,149,43,96,14,384,771
2240,00,0,552,455,19348,3722,8850,0.420564971751,1079,3077,0.350666233344,2879,3584,0.803292410714,444,1724,2168,2909,884,134,1744,1683,11402
2772,00,0,1118,769,32954,4135,9804,0.421766625866,1605,4579,0.350513212491,1718,2350,0.731063829787,1081,4275,5356,2379,1628,355,1473,2205,11593
76056,00,0,713,,24897,5628,13354,0.421446757525,,,,5010,6189,0.809500727096,,,6129,1665,,,,2764,16266
76057,00,0,9,0,85,14,43,0.325581395348,0,0,0.0,6,8,0.75,6,7,13,8,3,4,4,16,34
769,00,0,747,341,17790,2850,5981,0.476508944992,436,1026,0.424951267056,1184,1383,0.856109906001,192,1129,1321,2479,533,47,889,1128,7320
76061,00,0,19,,110,11,37,0.297297297297,,,,6,12,0.5,,,39,3,,,,13,28
2220,00,0,108,0,695,101,287,0.351916376306,25,75,0.333333333333,12,20,0.6,22,41,63,24,22,4,37,83,239
353,00,0,840,337,19918,2663,6507,0.409251575226,923,2763,0.33405718422,1463,1679,0.871351995235,654,1615,2269,3394,1133,98,1556,1398,7712
200756,00,0,292,40,3379,347,693,0.500721500721,2,7,0.285714285714,184,316,0.582278481012,292,474,766,102,90,142,230,544,880
76060,00,0,153,,,347,1176,0.29506802721,,,,346,500,0.692,,,89,358,,,,456,1040
